,EDC3_gas_a (yr),CO2 (ppmv),Bag,ztop,Age,Deuterium,Temperature,Depth,CH4_mean,1s,Lab.,Year,Month,Median montly series,year,Annual,"bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,difference"
0,-9.0,315.98,,,,,,,,,,,,,,,
1,-10.0,316.91,,,,,,,,,,,,,,,
2,-11.0,317.64,,,,,,,,,,,,,,,
3,-12.0,318.45,,,,,,,,,,,,,,,
4,-13.0,318.99,,,,,,,,,,,,,,,
5,-14.0,319.62,,,,,,,,,,,,,,,
6,-15.0,320.04,,,,,,,,,,,,,,,
7,-16.0,321.37,,,,,,,,,,,,,,,
8,-17.0,322.18,,,,,,,,,,,,,,,
9,-18.0,323.05,,,,,,,,,,,,,,,
10,-19.0,324.62,,,,,,,,,,,,,,,
11,-20.0,325.68,,,,,,,,,,,,,,,
12,-21.0,326.32,,,,,,,,,,,,,,,
13,-22.0,327.46,,,,,,,,,,,,,,,
14,-23.0,329.68,,,,,,,,,,,,,,,
15,-24.0,330.19,,,,,,,,,,,,,,,
16,-25.0,331.13,,,,,,,,,,,,,,,
17,-26.0,332.03,,,,,,,,,,,,,,,
18,-27.0,333.84,,,,,,,,,,,,,,,
19,-28.0,335.41,,,,,,,,,,,,,,,
20,-29.0,336.84,,,,,,,,,,,,,,,
21,-30.0,338.76,,,,,,,,,,,,,,,
22,-31.0,340.12,,,,,,,,,,,,,,,
23,-32.0,341.48,,,,,,,,,,,,,,,
24,-33.0,343.15,,,,,,,,,,,,,,,
25,-34.0,344.87,,,,,,,,,,,,,,,
26,-35.0,346.35,,,,,,,,,,,,,,,
27,-36.0,347.61,,,,,,,,,,,,,,,
28,-37.0,349.31,,,,,,,,,,,,,,,
29,-38.0,351.69,,,,,,,,,,,,,,,
30,-39.0,353.2,,,,,,,,,,,,,,,
31,-40.0,354.45,,,,,,,,,,,,,,,
32,-41.0,355.7,,,,,,,,,,,,,,,
33,-42.0,356.54,,,,,,,,,,,,,,,
34,-43.0,357.21,,,,,,,,,,,,,,,
35,-44.0,358.96,,,,,,,,,,,,,,,
36,-45.0,360.97,,,,,,,,,,,,,,,
37,-46.0,362.74,,,,,,,,,,,,,,,
38,-47.0,363.88,,,,,,,,,,,,,,,
39,-48.0,366.84,,,,,,,,,,,,,,,
40,-49.0,368.54,,,,,,,,,,,,,,,
41,-50.0,369.71,,,,,,,,,,,,,,,
42,-51.0,371.32,,,,,,,,,,,,,,,
43,-52.0,373.45,,,,,,,,,,,,,,,
44,-53.0,375.98,,,,,,,,,,,,,,,
45,-54.0,377.7,,,,,,,,,,,,,,,
46,-55.0,379.98,,,,,,,,,,,,,,,
47,-56.0,382.09,,,,,,,,,,,,,,,
48,-57.0,384.02,,,,,,,,,,,,,,,
49,-58.0,385.83,,,,,,,,,,,,,,,
50,-59.0,387.64,,,,,,,,,,,,,,,
51,-60.0,390.1,,,,,,,,,,,,,,,
52,-61.0,391.85,,,,,,,,,,,,,,,
53,-62.0,394.06,,,,,,,,,,,,,,,
54,-63.0,396.74,,,,,,,,,,,,,,,
55,-64.0,398.81,,,,,,,,,,,,,,,
56,-65.0,401.01,,,,,,,,,,,,,,,
57,-66.0,404.41,,,,,,,,,,,,,,,
58,-67.0,406.76,,,,,,,,,,,,,,,
59,-68.0,408.72,,,,,,,,,,,,,,,
60,-69.0,411.65,,,,,,,,,,,,,,,
61,-70.0,414.21,,,,,,,,,,,,,,,
62,-71.0,416.41,,,,,,,,,,,,,,,
63,-72.0,418.53,,,,,,,,,,,,,,,
64,137.0,280.4,,,,,,,,,,,,,,,
65,268.0,274.9,,,,,,,,,,,,,,,
66,279.0,277.9,,,,,,,,,,,,,,,
67,395.0,279.1,,,,,,,,,,,,,,,
68,404.0,281.9,,,,,,,,,,,,,,,
69,485.0,277.7,,,,,,,,,,,,,,,
70,559.0,281.1,,,,,,,,,,,,,,,
71,672.0,282.2,,,,,,,,,,,,,,,
72,754.0,280.1,,,,,,,,,,,,,,,
73,877.0,278.4,,,,,,,,,,,,,,,
74,950.0,276.6,,,,,,,,,,,,,,,
75,1060.0,279.1,,,,,,,,,,,,,,,
76,1153.0,277.7,,,,,,,,,,,,,,,
77,1233.0,278.7,,,,,,,,,,,,,,,
78,1350.0,277.4,,,,,,,,,,,,,,,
79,1453.0,279.2,,,,,,,,,,,,,,,
80,1552.0,280.0,,,,,,,,,,,,,,,
81,1638.0,278.9,,,,,,,,,,,,,,,
82,1733.0,278.7,,,,,,,,,,,,,,,
83,1812.0,278.0,,,,,,,,,,,,,,,
84,1931.0,276.9,,,,,,,,,,,,,,,
85,2057.0,276.7,,,,,,,,,,,,,,,
86,2128.0,276.7,,,,,,,,,,,,,,,
87,2212.0,277.6,,,,,,,,,,,,,,,
88,2334.0,277.9,,,,,,,,,,,,,,,
89,2433.0,273.9,,,,,,,,,,,,,,,
90,2536.0,278.9,,,,,,,,,,,,,,,
91,2604.0,275.3,,,,,,,,,,,,,,,
